# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 56
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 56
DATA ascii
-16.1066 -28.5804 139.648
-15.642 -25.3773 139.653
-15.2131 -22.1829 139.657
-14.7337 -18.9762 139.661
-14.2789 -15.7754 139.666
-13.8165 -12.5728 139.67
-13.3401 -9.36679 139.675
-12.8915 -6.16757 139.679
-3.73205 -29.8598 171.934
-9.15856 -28.6886 172.122
-11.2854 -26.378 172.8
-6.43722 -21.6585 174.512
-12.023 -20.5424 174.677
-11.4143 -17.2871 175.761
-10.838 -14.0429 176.839
-10.2026 -10.7783 177.927
-15.0627 -21.8853 109.528
-22.3613 -24.1849 109.553
-3.29715 -3.93718 110.19
-9.32914 -5.15345 110.244
-10.5854 -2.28521 110.409
-10.021 2.14023 110.616
-9.43832 6.58131 110.824
-8.87661 11.0044 111.031
-15.0103 -38.8833 159.814
-4439.82 -2231.72 -982.006
0.627017 -25.019 167.019
-3.34207 -23.9367 167.575
0.57083 -18.9428 170.168
-4.92164 -18.6166 170.331
-4.33826 -15.2751 172.064
-3.78682 -11.9494 173.788
-5.35086 -23.3809 165.06
-5.14667 -20.5731 166.582
-4.9372 -17.7677 168.103
-4.7231 -14.9644 169.624
-4.47193 -12.1779 171.142
-4.28827 -9.36079 172.666
-4.05604 -6.56573 174.185
-3.84822 -3.75957 175.707
-92.8552 -60.5159 162.828
-11.7182 4.01833 166.273
-10.8871 8.3864 166.503
-10.0987 12.7225 166.731
-9.30856 17.0598 166.959
-8.49451 21.4151 167.187
-7.6877 25.7649 167.416
-6.91422 30.0898 167.643
-15.2903 -34.2749 101.413
-14.6223 -30.3089 103.039
-13.9003 -26.309 104.701
-13.1591 -22.2968 106.375
-14.4253 -19.5513 106.731
-20.0198 -19.5368 104.243
-0.818035 -3.87669 118.046
-7.97871 -4.85037 114.529
